RestaurantID,Name,City,Capacity,WorkingHours
446,Oyoloo,Itagüí,28,9:00 AM - 5:00 PM
447,Jabberbean,Soko,25,11:30 AM - 8:00 PM
448,Leenti,Skiáthos,45,8:00 AM - 4:30 PM
449,Demivee,Joaquín Suárez,46,9:00 AM - 5:00 PM
450,Eare,Nowy Duninów,17,9:00 AM - 5:00 PM
451,Photolist,Passal,40,8:00 AM - 4:30 PM
452,Thoughtstorm,Dongxin,42,10:00 AM - 6:30 PM
453,Wikivu,Ranao,49,12:00 PM - 9:00 PM
454,Voolia,Peña,24,10:00 AM - 6:30 PM
455,Dynazzy,Yongfeng,28,11:30 AM - 8:00 PM
456,Topicblab,Xinwo,15,12:00 PM - 9:00 PM
457,Blogtag,Medicine Hat,20,10:00 AM - 6:30 PM
458,Quinu,Áno Kopanákion,43,10:00 AM - 6:30 PM
459,Brightdog,Iogach,48,11:30 AM - 8:00 PM
460,Viva,Lolayan,20,10:00 AM - 6:30 PM
461,Skipfire,Galtek,17,8:00 AM - 4:30 PM
462,Photospace,Mosar,49,10:00 AM - 6:30 PM
463,Feedspan,Bingerville,29,9:00 AM - 5:00 PM
464,Fivebridge,Jinzao,15,10:00 AM - 6:30 PM
465,Jazzy,Asyūţ,24,8:00 AM - 4:30 PM
466,Kaymbo,Longfeng,24,11:30 AM - 8:00 PM
467,Fivespan,Austin,31,8:00 AM - 4:30 PM
468,BlogXS,Marolambo,46,8:00 AM - 4:30 PM
469,Skyvu,Magrath,19,10:00 AM - 6:30 PM
470,Oyope,Kasserine,24,12:00 PM - 9:00 PM
471,Ainyx,Tonshayevo,31,11:30 AM - 8:00 PM
472,Katz,Brusartsi,41,12:00 PM - 9:00 PM
473,Buzzbean,La Victoria,13,10:00 AM - 6:30 PM
474,Realfire,Buenos Aires,19,12:00 PM - 9:00 PM
475,Oyope,Xianning,37,11:30 AM - 8:00 PM
476,Flashpoint,Mandalgovi,29,9:00 AM - 5:00 PM
477,Skajo,Otterburn Park,10,11:30 AM - 8:00 PM
478,Bluezoom,Quinuabamba,32,12:00 PM - 9:00 PM
479,Browsetype,Cikuya,36,8:00 AM - 4:30 PM
480,Kamba,Maogang,24,12:00 PM - 9:00 PM
481,Zoombox,Kalangan,31,10:00 AM - 6:30 PM
482,Skiptube,Tumba,47,11:30 AM - 8:00 PM
483,Feedspan,Lemahputih,34,9:00 AM - 5:00 PM
484,Topicblab,Buseresere,50,9:00 AM - 5:00 PM
485,Divape,Feondari,47,12:00 PM - 9:00 PM
486,Skynoodle,Akure,47,8:00 AM - 4:30 PM
487,Fivespan,Kwali,50,11:30 AM - 8:00 PM
488,Voonix,Carlos Barbosa,47,12:00 PM - 9:00 PM
489,Avamba,Saint-Paul,33,8:00 AM - 4:30 PM
490,Voonder,Ranao,19,8:00 AM - 4:30 PM
491,Flipopia,Montargis,19,10:00 AM - 6:30 PM
492,Twinte,Tân Việt,49,12:00 PM - 9:00 PM
493,Quamba,Daijiaba,32,12:00 PM - 9:00 PM
494,Fivespan,Kirkland Lake,25,12:00 PM - 9:00 PM
495,Skilith,Pasirpengarayan,10,8:00 AM - 4:30 PM
496,Roombo,San Francisco Zapotitlán,38,10:00 AM - 6:30 PM
497,Demimbu,Nanfeng,39,10:00 AM - 6:30 PM
498,Flashpoint,Borucin,42,10:00 AM - 6:30 PM
499,Divape,Miān Channūn,31,10:00 AM - 6:30 PM
500,Kanoodle,Marseille,19,8:00 AM - 4:30 PM
